S/N,employee_id,hire_year,year,period,department,level,tenure_years,years_in_role,manager_id,promotion_status,training_participation_intensity,prior_performance,performance_score,performance_change
21,EMP006,2022,2023,H2,IB,Analyst III,1.0,1.6,EMP001,0,1,83.09,86.33,3.24
22,EMP006,2022,2024,H1,IB,Associate,2.0,0.3,EMP001,1,1,86.33,83.59,-2.74
23,EMP006,2022,2024,H2,IB,Associate,2.0,0.8,EMP003,0,1,83.59,82.38,-1.21
24,EMP006,2022,2025,H1,IB,Associate,3.0,1.3,EMP003,0,1,82.38,80.21,-2.17
25,EMP006,2022,2025,H2,IB,Associate,3.0,1.9,EMP003,0,1,80.21,82.58,2.37
26,EMP007,2022,2023,H1,IB,Graduate Trainee,1.0,0.6,EMP004,0,2,,84.39,
27,EMP007,2022,2023,H2,IB,Analyst I,1.0,0.2,EMP004,1,2,84.39,83.82,-0.57
28,EMP007,2022,2024,H1,IB,Analyst II,2.0,0.3,EMP004,1,1,83.82,90.28,6.46
29,EMP007,2022,2024,H2,IB,Analyst II,2.0,0.8,EMP004,0,1,90.28,87.55,-2.73
30,EMP007,2022,2025,H1,IB,Analyst II,3.0,1.3,EMP004,0,2,87.55,88.62,1.07
31,EMP007,2022,2025,H2,IB,Analyst II,3.0,1.9,EMP004,0,1,88.62,89.31,0.69
32,EMP008,2022,2023,H1,IB,Graduate Trainee,1.0,0.8,EMP004,0,2,,85.51,
33,EMP008,2022,2023,H2,IB,Analyst I,1.0,0.3,EMP004,1,2,85.51,88.66,3.15
34,EMP008,2022,2024,H1,IB,Analyst II,2.0,0.3,EMP004,1,1,88.66,90.1,1.44
35,EMP008,2022,2024,H2,IB,Analyst II,2.0,0.8,EMP004,0,1,90.1,87.29,-2.81
36,EMP008,2022,2025,H1,IB,Analyst II,3.0,1.3,EMP004,0,2,87.29,90.58,3.29
37,EMP008,2022,2025,H2,IB,Analyst II,3.0,1.9,EMP004,0,1,90.58,89.9,-0.68
38,EMP009,2023,2024,H2,IB,Analyst I,1.0,0.2,EMP004,1,1,,80.38,
39,EMP009,2023,2025,H1,IB,Analyst I,2.0,0.7,EMP004,0,2,80.38,81.69,1.31
40,EMP009,2023,2025,H2,IB,Analyst I,2.0,1.2,EMP004,0,1,81.69,86.63,4.94
41,EMP010,2024,2025,H1,IB,Graduate Trainee,1.0,0.7,EMP005,0,2,,84.48,
42,EMP010,2024,2025,H2,IB,Analyst I,1.0,0.7,EMP005,1,1,84.48,84.48,0.0
43,EMP011,2025,2025,H2,IB,Graduate Trainee,0.9,0.9,EMP005,1,2,,84.03,
44,EMP012,2023,2023,H2,PIPE,Senior Vice President,0.8,0.8,EMP033,0,1,,84.22,
45,EMP012,2023,2024,H1,PIPE,Senior Vice President,1.0,1.3,EMP033,0,1,84.22,82.96,-1.26
46,EMP012,2023,2024,H2,PIPE,Senior Vice President,1.0,1.8,EMP033,0,1,82.96,82.29,-0.67
47,EMP012,2023,2025,H1,PIPE,Senior Vice President,2.0,2.3,EMP033,0,1,82.29,85.38,3.09
48,EMP012,2023,2025,H2,PIPE,Senior Vice President,2.0,2.8,EMP033,0,1,85.38,86.0,0.62
49,EMP013,2022,2023,H1,PIPE,Senior Associate,1.0,1.0,EMP012,0,1,85.93,86.33,0.4
50,EMP013,2022,2023,H2,PIPE,Principal Associate,1.0,0.3,EMP012,0,1,86.33,87.41,1.08
51,EMP013,2022,2024,H1,PIPE,Principal Associate,2.0,0.8,EMP012,0,1,87.41,86.53,-0.88
52,EMP013,2022,2024,H2,PIPE,Principal Associate,2.0,1.3,EMP012,0,1,86.53,85.52,-1.01
53,EMP013,2022,2025,H1,PIPE,Principal Associate,3.0,1.8,EMP012,0,1,85.52,86.43,0.91
54,EMP013,2022,2025,H2,PIPE,Principal Associate,3.0,2.3,EMP012,0,1,86.43,88.5,2.07
55,EMP014,2021,2023,H1,PIPE,Analyst I,2.0,0.8,EMP012,0,2,82.42,88.01,5.59
56,EMP014,2021,2023,H2,PIPE,Analyst II,2.0,0.3,EMP012,1,1,88.01,85.79,-2.22
57,EMP014,2021,2024,H1,PIPE,Analyst II,3.0,0.8,EMP012,0,1,85.79,86.13,0.34
58,EMP014,2021,2024,H2,PIPE,Analyst III,3.0,0.3,EMP012,1,1,86.13,85.86,-0.27
59,EMP014,2021,2025,H1,PIPE,Analyst III,4.0,0.8,EMP012,0,2,85.86,87.21,1.35
60,EMP014,2021,2025,H2,PIPE,Analyst III,4.0,1.3,EMP012,0,1,87.21,87.45,0.24
61,EMP015,2022,2023,H1,PIPE,Graduate Trainee,1.0,0.7,EMP013,0,2,,79.96,
62,EMP015,2022,2023,H2,PIPE,Analyst I,1.0,0.2,EMP013,1,1,79.96,80.03,0.07
63,EMP015,2022,2024,H1,PIPE,Analyst I,2.0,0.7,EMP013,0,1,80.03,83.25,3.22
64,EMP015,2022,2024,H2,PIPE,Analyst II,2.0,0.3,EMP013,1,1,83.25,79.15,-4.1
65,EMP015,2022,2025,H1,PIPE,Analyst II,3.0,0.8,EMP013,0,2,79.15,73.58,-5.57
66,EMP015,2022,2025,H2,PIPE,Analyst II,3.0,1.3,EMP013,0,1,73.58,78.38,4.8
67,EMP016,2024,2024,H2,PIPE,Graduate Trainee,0.4,0.9,EMP013,0,2,,80.03,
68,EMP016,2024,2025,H1,PIPE,Graduate Trainee,1.0,1.4,EMP013,0,2,80.03,81.35,1.32
69,EMP016,2024,2025,H2,PIPE,Analyst I,1.0,0.1,EMP013,1,1,81.35,77.1,-4.25
70,EMP017,2025,2025,H1,PIPE,Graduate Trainee,0.3,0.4,EMP013,0,2,,87.14,
71,EMP017,2025,2025,H2,PIPE,Analyst I,0.9,0.1,EMP013,1,1,87.14,84.27,-2.87
72,EMP018,2021,2023,H1,Finance,Senior Associate,2.0,0.3,EMP034,1,1,83.38,83.54,0.16
73,EMP018,2021,2023,H2,Finance,Senior Associate,2.0,0.8,EMP034,0,1,83.54,82.96,-0.58
74,EMP018,2021,2024,H1,Finance,Senior Associate,3.0,1.3,EMP034,0,1,82.96,83.18,0.22
75,EMP018,2021,2024,H2,Finance,Senior Associate,3.0,1.8,EMP034,0,1,83.18,83.11,-0.07
76,EMP018,2021,2025,H1,Finance,Senior Associate,4.0,2.3,EMP034,0,2,83.11,83.42,0.31
77,EMP018,2021,2025,H2,Finance,Senior Associate,4.0,2.8,EMP034,0,1,83.42,85.01,1.59
78,EMP019,2022,2023,H1,Finance,Senior Associate,1.0,0.9,EMP034,0,1,,77.23,
79,EMP019,2022,2023,H2,Finance,Senior Associate,1.0,1.4,EMP034,0,1,77.23,72.41,-4.82
80,EMP019,2022,2024,H1,Finance,Senior Associate,2.0,1.9,EMP034,0,1,72.41,74.22,1.81
81,EMP019,2022,2024,H2,Finance,Senior Associate,2.0,2.4,EMP034,0,1,74.22,75.05,0.83
82,EMP019,2022,2025,H1,Finance,Senior Associate,3.0,2.9,EMP034,0,2,75.05,76.73,1.68
83,EMP019,2022,2025,H2,Finance,Senior Associate,3.0,3.4,EMP034,0,1,76.73,80.89,4.16
84,EMP020,2019,2023,H1,People & Culture,Principal Associate,4.0,1.2,EMP035,0,1,87.81,89.23,1.42
85,EMP020,2019,2023,H2,People & Culture,Principal Associate,4.0,1.7,EMP035,0,1,89.23,89.0,-0.23
86,EMP020,2019,2024,H1,People & Culture,Associate Vice President,5.0,0.3,EMP035,1,1,88.0,84.0,-4.0
87,EMP020,2019,2024,H2,People & Culture,Associate Vice President,5.0,0.8,EMP035,0,1,84.0,80.03,-3.97
88,EMP020,2019,2025,H1,People & Culture,Associate Vice President,6.0,1.3,EMP035,0,1,80.03,85.24,5.21
89,EMP020,2019,2025,H2,People & Culture,Associate Vice President,6.0,1.8,EMP035,0,1,85.24,87.0,1.76
90,EMP021,2018,2023,H1,People & Culture,Senior Associate,5.0,2.0,EMP020,0,1,91.28,91.58,0.3
91,EMP021,2018,2023,H2,People & Culture,Principal Associate,5.0,0.3,EMP020,1,1,91.58,91.79,0.21
92,EMP021,2018,2024,H1,People & Culture,Principal Associate,6.0,0.8,EMP020,0,1,91.79,91.1,-0.69
93,EMP021,2018,2024,H2,People & Culture,Principal Associate,6.0,1.3,EMP020,0,1,91.1,90.16,-0.94
94,EMP021,2018,2025,H1,People & Culture,Principal Associate,7.0,1.8,EMP020,0,2,90.16,90.12,-0.04
95,EMP022,2018,2025,H2,People & Culture,Principal Associate,7.0,2.3,EMP020,0,1,90.12,90.0,-0.12
96,EMP022,2023,2023,H2,CS,Analyst III,0.8,0.8,EMP036,0,1,,78.0,
97,EMP022,2023,2024,H1,CS,Analyst III,1.0,1.3,EMP036,0,1,78.0,82.85,4.85
98,EMP022,2023,2024,H2,CS,Analyst III,1.0,1.8,EMP036,0,1,82.85,80.88,-1.97
99,EMP022,2023,2025,H1,CS,Analyst III,2.0,2.3,EMP036,0,1,80.88,83.82,2.94
100,EMP022,2023,2025,H2,CS,Analyst III,2.0,2.8,EMP036,0,1,83.82,85.21,1.39
101,EMP023,2021,2023,H1,CS,Analyst III,2.0,0.8,EMP036,0,1,82.7,87.31,4.61
102,EMP023,2021,2023,H2,CS,Analyst III,2.0,1.3,EMP036,0,1,87.31,84.0,-3.31
103,EMP023,2021,2024,H1,CS,Analyst III,3.0,1.9,EMP036,0,1,84.0,90.68,6.68
104,EMP023,2021,2024,H2,CS,Associate,3.0,0.3,EMP036,1,1,90.68,82.43,-8.25
105,EMP023,2021,2025,H1,CS,Associate,4.0,0.8,EMP036,0,1,82.43,85.0,2.57
106,EMP023,2021,2025,H2,CS,Associate,4.0,1.3,EMP036,0,1,85.0,85.04,0.04
107,EMP024,2014,2023,H1,CS,Administrative Assistant,9.0,8.7,EMP036,0,1,80.0,82.0,2.0
108,EMP024,2014,2023,H2,CS,Administrative Assistant,9.0,9.2,EMP036,0,2,82.0,84.0,2.0
109,EMP024,2014,2024,H1,CS,Administrative Assistant,10.0,9.7,EMP036,0,1,84.0,85.0,1.0
110,EMP024,2014,2024,H2,CS,Administrative Assistant,10.0,10.2,EMP036,0,1,85.0,88.0,3.0
111,EMP024,2014,2025,H1,CS,Administrative Assistant,11.0,10.8,EMP036,0,1,88.0,87.0,-1.0
112,EMP024,2014,2025,H2,CS,Administrative Assistant,11.0,11.3,EMP036,0,1,87.0,89.0,2.0
113,EMP025,2014,2023,H1,CS,Administrative Assistant,9.0,8.7,EMP036,0,1,81.0,82.0,1.0
114,EMP025,2014,2023,H2,CS,Administrative Assistant,9.0,9.2,EMP036,0,2,82.0,85.0,3.0
115,EMP025,2014,2024,H1,CS,Administrative Assistant,10.0,9.7,EMP036,0,1,85.0,85.0,0.0
116,EMP025,2014,2024,H2,CS,Administrative Assistant,10.0,10.2,EMP036,0,1,85.0,87.0,2.0
117,EMP025,2014,2025,H1,CS,Administrative Assistant,11.0,10.8,EMP036,0,1,87.0,86.0,-1.0
118,EMP025,2014,2025,H2,CS,Administrative Assistant,11.0,11.3,EMP036,0,1,86.0,89.0,3.0
119,EMP026,2014,2023,H1,CS,Executive Driver,9.0,9.3,EMP036,0,2,90.0,100.0,10.0
120,EMP026,2014,2023,H2,CS,Executive Driver,9.0,9.8,EMP036,0,1,100.0,100.0,0.0
121,EMP026,2014,2024,H1,CS,Executive Driver,10.0,10.3,EMP036,0,1,99.0,100.0,1.0
122,EMP026,2014,2024,H2,CS,Executive Driver,10.0,10.8,EMP036,0,1,100.0,92.0,-8.0
123,EMP026,2014,2025,H1,CS,Executive Driver,11.0,11.3,EMP036,0,1,92.0,96.0,4.0
124,EMP026,2014,2025,H2,CS,Executive Driver,11.0,11.8,EMP036,0,1,96.0,100.0,4.0
125,EMP027,2014,2023,H1,CS,Executive Driver,9.0,9.3,EMP036,0,2,85.0,85.0,0.0
126,EMP027,2014,2023,H2,CS,Executive Driver,9.0,9.8,EMP036,0,1,85.0,83.0,-2.0
127,EMP027,2014,2024,H1,CS,Executive Driver,10.0,10.3,EMP036,0,1,86.0,88.0,2.0
128,EMP027,2014,2024,H2,CS,Executive Driver,10.0,10.8,EMP036,0,1,88.0,74.0,-14.0
129,EMP027,2014,2025,H1,CS,Executive Driver,11.0,11.3,EMP036,0,1,74.0,82.0,8.0
130,EMP027,2014,2025,H2,CS,Executive Driver,11.0,11.8,EMP036,0,1,82.0,88.0,6.0
131,EMP028,2014,2023,H1,CS,Executive Driver,9.0,9.3,EMP036,0,2,95.0,95.0,0.0
132,EMP028,2014,2023,H2,CS,Executive Driver,9.0,9.8,EMP036,0,1,95.0,95.0,0.0
133,EMP028,2014,2024,H1,CS,Executive Driver,10.0,10.3,EMP036,0,1,95.0,95.0,0.0
134,EMP028,2014,2024,H2,CS,Executive Driver,10.0,10.8,EMP036,0,1,95.0,95.0,0.0
135,EMP028,2014,2025,H1,CS,Executive Driver,11.0,11.3,EMP036,0,1,95.0,95.0,0.0
136,EMP028,2014,2025,H2,CS,Executive Driver,11.0,11.8,EMP036,0,1,95.0,95.0,0.0
137,EMP029,2021,2023,H1,CS,Executive Driver,2.0,2.0,EMP036,0,2,100.0,100.0,0.0
138,EMP029,2021,2023,H2,CS,Executive Driver,2.0,2.5,EMP036,0,1,100.0,100.0,0.0
139,EMP029,2021,2024,H1,CS,Executive Driver,3.0,3.0,EMP036,0,2,100.0,100.0,0.0
140,EMP029,2021,2024,H2,CS,Executive Driver,3.0,3.5,EMP036,0,1,100.0,100.0,0.0
141,EMP029,2021,2025,H1,CS,Executive Driver,4.0,4.0,EMP036,0,1,100.0,56.0,-44.0
142,EMP029,2021,2025,H2,CS,Executive Driver,4.0,4.5,EMP036,0,1,56.0,90.0,34.0
143,EMP030,2023,2023,H2,CS,Executive Driver,0.5,0.4,EMP036,0,2,94.0,88.0,-6.0
144,EMP030,2023,2024,H1,CS,Executive Driver,1.0,0.9,EMP036,0,2,89.0,89.0,0.0
145,EMP030,2023,2024,H2,CS,Executive Driver,1.0,1.4,EMP036,0,1,89.0,77.0,-12.0
146,EMP030,2023,2025,H1,CS,Executive Driver,2.0,1.9,EMP036,0,1,77.0,91.0,14.0
147,EMP030,2023,2025,H2,CS,Executive Driver,2.0,2.4,EMP036,0,1,91.0,92.0,1.0
148,EMP031,2013,2023,H1,CS,Pool Driver,10.0,10.1,EMP036,0,2,97.0,95.0,-2.0
149,EMP031,2013,2023,H2,CS,Pool Driver,10.0,10.6,EMP036,0,1,95.0,95.0,0.0
150,EMP031,2013,2024,H1,CS,Pool Driver,11.0,11.1,EMP036,0,1,94.0,95.0,1.0
151,EMP031,2013,2024,H2,CS,Pool Driver,11.0,11.6,EMP036,0,1,95.0,95.0,0.0
152,EMP031,2013,2025,H1,CS,Pool Driver,12.0,12.1,EMP036,0,1,95.0,80.0,-15.0
153,EMP031,2013,2025,H2,CS,Pool Driver,12.0,12.6,EMP036,0,1,80.0,95.0,15.0
